understand flask application routing behavior	src/flask/sansio/blueprints.py
understand flask session cookie security behavior	src/flask/sessions.py
understand flask logging observability behavior	src/flask/logging.py
understand request lifecycle before after request handling	src/flask/app.py
understand flask template rendering behavior	src/flask/templating.py
understand configuration settings	src/flask/config.py
understand cli startup run command	src/flask/cli.py
understand flask testing client coverage	tests/test_testing.py
understand flask static file serving behavior	src/flask/blueprints.py
understand flask request body parsing behavior	src/flask/wrappers.py
